,ds,y
168,2017:12:26 18:42:14,6.6
169,2017:12:26 19:09:03,6.7
170,2017:12:26 19:27:37,6.8
171,2017:12:26 19:56:26,6.9
172,2017:12:26 20:10:50,7.0
173,2017:12:26 20:25:16,7.1
174,2017:12:26 20:33:32,7.0
175,2017:12:26 20:50:02,7.1
176,2017:12:26 21:02:23,7.2
177,2017:12:26 21:10:38,7.3
178,2017:12:26 21:18:52,7.4
179,2017:12:26 21:25:03,7.5
180,2017:12:26 21:33:18,7.3
181,2017:12:26 21:37:26,7.4
182,2017:12:26 21:45:41,7.5
183,2017:12:26 21:53:57,7.6
184,2017:12:26 22:02:10,7.7
185,2017:12:26 22:10:26,7.8
186,2017:12:26 22:18:40,7.9
187,2017:12:26 22:24:52,8.0
188,2017:12:26 22:33:06,7.6
189,2017:12:26 22:39:16,7.7
190,2017:12:26 22:47:30,7.8
191,2017:12:26 22:57:49,7.9
192,2017:12:26 23:06:03,8.0
193,2017:12:26 23:12:14,8.0
194,2017:12:26 23:14:18,8.0
195,2017:12:26 23:18:26,8.1
196,2017:12:26 23:30:47,8.2
197,2017:12:26 23:32:50,7.6
198,2017:12:26 23:43:09,7.7
199,2017:12:26 23:59:39,7.8
200,2017:12:27 00:05:51,7.7
201,2017:12:27 00:07:55,7.8
202,2017:12:27 00:34:45,7.3
203,2017:12:27 00:38:52,7.2
204,2017:12:27 01:05:39,7.1
205,2017:12:27 01:24:09,7.0
206,2017:12:27 01:34:26,6.1
207,2017:12:27 01:44:44,6.2
208,2017:12:27 01:55:01,6.1
209,2017:12:27 02:34:11,5.5
210,2017:12:27 02:36:14,5.4
211,2017:12:27 03:11:20,5.5
212,2017:12:27 03:29:50,5.6
213,2017:12:27 03:33:56,5.3
214,2017:12:27 04:13:07,5.4
215,2017:12:27 04:29:36,5.5
216,2017:12:27 04:33:44,5.0
217,2017:12:27 04:44:03,5.0
218,2017:12:27 04:48:09,5.0
219,2017:12:27 05:23:11,5.1
220,2017:12:27 05:29:22,5.2
221,2017:12:27 05:33:29,4.5
222,2017:12:27 06:06:30,4.4
223,2017:12:27 06:22:59,4.3
224,2017:12:27 06:33:17,3.2
225,2017:12:27 06:37:25,3.1
226,2017:12:27 06:49:47,3.0
227,2017:12:27 07:02:09,2.9
228,2017:12:27 07:18:39,2.8
229,2017:12:27 07:33:04,1.9
230,2017:12:27 07:37:12,1.8
231,2017:12:27 07:45:27,1.7
232,2017:12:27 07:51:38,1.6
233,2017:12:27 07:59:52,1.5
234,2017:12:27 08:14:17,1.6
235,2017:12:27 08:34:53,1.5
236,2017:12:27 08:43:09,1.4
237,2017:12:27 08:55:32,1.3
238,2017:12:27 09:07:55,1.4
239,2017:12:27 09:20:17,1.5
240,2017:12:27 09:30:36,1.6
241,2017:12:27 09:32:39,1.8
242,2017:12:27 09:57:22,1.9
