,ds,y
730,2017:12:29 17:33:29,6.1
731,2017:12:29 17:37:36,6.0
732,2017:12:29 17:52:04,5.9
733,2017:12:29 18:02:24,5.8
734,2017:12:29 18:12:43,5.7
735,2017:12:29 18:20:59,5.6
736,2017:12:29 18:29:15,5.5
737,2017:12:29 18:33:22,5.6
738,2017:12:29 18:47:49,5.5
739,2017:12:29 19:08:28,5.4
740,2017:12:29 19:24:57,5.3
741,2017:12:29 19:33:11,5.4
742,2017:12:29 19:39:21,5.3
743,2017:12:29 20:32:59,5.0
744,2017:12:29 20:35:03,5.0
745,2017:12:29 20:37:07,5.0
746,2017:12:29 20:49:29,5.1
747,2017:12:29 21:26:37,5.2
748,2017:12:29 21:34:53,4.8
749,2017:12:29 21:53:28,4.9
750,2017:12:29 22:20:18,5.0
751,2017:12:29 22:34:46,5.2
752,2017:12:29 22:43:00,5.3
753,2017:12:29 23:15:58,5.4
754,2017:12:29 23:32:29,5.6
755,2017:12:29 23:49:00,5.7
756,2017:12:30 00:03:27,5.8
757,2017:12:30 00:05:31,6.0
758,2017:12:30 00:07:35,5.8
759,2017:12:30 00:09:39,5.9
760,2017:12:30 00:11:43,6.0
761,2017:12:30 00:13:47,6.0
762,2017:12:30 00:15:51,6.0
763,2017:12:30 00:17:55,6.1
764,2017:12:30 00:24:07,6.2
765,2017:12:30 00:30:18,6.3
766,2017:12:30 00:32:22,6.0
767,2017:12:30 00:34:26,6.1
768,2017:12:30 00:40:38,6.2
769,2017:12:30 00:44:47,6.3
770,2017:12:30 00:48:54,6.4
771,2017:12:30 00:57:10,6.5
772,2017:12:30 01:05:24,6.7
773,2017:12:30 01:03:22,6.6
774,2017:12:30 01:09:32,6.8
775,2017:12:30 01:13:39,6.9
776,2017:12:30 01:17:47,7.0
777,2017:12:30 01:21:54,7.1
778,2017:12:30 01:23:58,7.2
779,2017:12:30 01:28:06,7.3
780,2017:12:30 01:32:14,6.3
781,2017:12:30 01:36:22,6.4
782,2017:12:30 01:38:26,6.5
783,2017:12:30 01:42:33,6.6
784,2017:12:30 01:59:03,7.3
785,2017:12:30 01:46:41,6.8
786,2017:12:30 01:48:45,6.9
787,2017:12:30 01:50:49,7.0
788,2017:12:30 01:52:53,7.1
789,2017:12:30 01:57:00,7.2
790,2017:12:30 02:03:11,7.4
791,2017:12:30 02:05:15,7.3
792,2017:12:30 02:07:19,7.4
793,2017:12:30 02:09:23,7.5
794,2017:12:30 02:17:39,7.6
795,2017:12:30 02:21:47,7.7
796,2017:12:30 02:25:55,7.8
797,2017:12:30 02:32:05,6.9
798,2017:12:30 02:38:17,7.0
799,2017:12:30 02:42:24,7.1
800,2017:12:30 02:46:32,7.2
801,2017:12:30 02:52:44,7.3
802,2017:12:30 02:56:52,7.4
803,2017:12:30 03:01:00,7.5
804,2017:12:30 03:05:07,7.6
805,2017:12:30 03:07:09,7.7
806,2017:12:30 03:09:13,7.8
807,2017:12:30 03:11:17,7.9
808,2017:12:30 03:13:20,8.0
809,2017:12:30 03:17:28,8.1
810,2017:12:30 03:19:32,8.2
811,2017:12:30 03:21:36,8.3
812,2017:12:30 03:23:40,8.4
813,2017:12:30 03:27:48,8.5
814,2017:12:30 03:29:52,8.6
815,2017:12:30 03:31:56,8.7
816,2017:12:30 03:34:00,9.0
817,2017:12:30 03:38:07,9.1
818,2017:12:30 03:40:11,9.2
819,2017:12:30 03:44:19,9.3
820,2017:12:30 03:46:22,9.4
821,2017:12:30 03:50:29,9.5
822,2017:12:30 03:52:33,9.6
823,2017:12:30 03:56:40,9.7
824,2017:12:30 03:58:44,9.8
825,2017:12:30 04:02:51,9.9
826,2017:12:30 04:06:57,10.0
827,2017:12:30 04:11:05,10.1
828,2017:12:30 04:15:12,10.2
829,2017:12:30 04:19:20,10.3
830,2017:12:30 04:21:24,10.4
831,2017:12:30 04:25:32,10.5
832,2017:12:30 04:29:39,10.6
833,2017:12:30 04:33:47,10.0
834,2017:12:30 04:37:54,10.1
835,2017:12:30 04:42:02,10.2
836,2017:12:30 04:46:09,10.3
837,2017:12:30 04:50:17,10.4
838,2017:12:30 04:54:25,10.5
839,2017:12:30 04:58:32,10.6
840,2017:12:30 05:02:39,10.7
841,2017:12:30 05:29:30,11.3
842,2017:12:30 05:06:47,10.8
843,2017:12:30 05:12:58,10.9
844,2017:12:30 05:17:06,11.0
845,2017:12:30 05:21:14,11.1
846,2017:12:30 05:25:22,11.2
847,2017:12:30 05:31:33,11.1
848,2017:12:30 05:33:37,11.0
849,2017:12:30 05:45:58,11.2
850,2017:12:30 05:39:47,11.1
851,2017:12:30 05:52:10,11.3
852,2017:12:30 05:58:22,11.4
853,2017:12:30 06:10:45,11.5
854,2017:12:30 06:12:48,11.6
855,2017:12:30 06:19:00,11.5
856,2017:12:30 06:21:03,11.6
857,2017:12:30 06:33:25,11.8
858,2017:12:30 06:47:52,11.9
859,2017:12:30 07:02:19,11.8
860,2017:12:30 07:16:46,11.7
861,2017:12:30 07:31:13,11.6
862,2017:12:30 07:33:16,11.8
863,2017:12:30 07:37:24,11.7
864,2017:12:30 07:43:36,11.9
865,2017:12:30 07:45:39,11.7
866,2017:12:30 07:51:51,11.6
867,2017:12:30 07:59:33,11.6
868,2017:12:30 08:03:41,11.5
869,2017:12:30 08:05:05,11.5
870,2017:12:30 08:09:23,11.5
871,2017:12:30 08:15:35,11.4
872,2017:12:30 08:27:58,11.3
873,2017:12:30 08:32:04,11.7
874,2017:12:30 08:40:19,11.6
875,2017:12:30 08:44:27,11.8
876,2017:12:30 08:46:31,11.6
877,2017:12:30 08:58:52,11.5
878,2017:12:30 09:07:08,11.4
879,2017:12:30 09:29:50,11.3
880,2017:12:30 09:33:58,11.8
881,2017:12:30 09:44:18,12.0
882,2017:12:30 09:46:22,11.9
883,2017:12:30 10:00:49,11.8
884,2017:12:30 10:29:39,11.7
885,2017:12:30 10:33:46,12.2
886,2017:12:30 11:06:46,12.3
887,2017:12:30 11:08:51,12.2
888,2017:12:30 11:10:54,12.3
889,2017:12:30 11:27:25,12.2
890,2017:12:30 11:33:37,12.6
891,2017:12:30 11:50:09,12.5
892,2017:12:30 11:58:25,12.6
893,2017:12:30 12:06:40,12.5
894,2017:12:30 12:16:58,12.4
895,2017:12:30 12:29:20,12.3
896,2017:12:30 12:33:28,12.9
897,2017:12:30 12:45:50,12.8
898,2017:12:30 13:04:25,12.7
899,2017:12:30 13:12:38,12.6
900,2017:12:30 13:20:53,12.5
901,2017:12:30 13:29:08,12.4
902,2017:12:30 13:33:16,13.1
903,2017:12:30 13:39:27,13.0
904,2017:12:30 13:45:39,13.0
905,2017:12:30 13:47:41,13.0
906,2017:12:30 13:53:53,12.9
907,2017:12:30 14:04:42,12.8
908,2017:12:30 14:10:52,12.7
909,2017:12:30 14:19:08,12.6
910,2017:12:30 14:25:20,12.5
911,2017:12:30 14:31:30,12.4
912,2017:12:30 14:33:33,13.1
913,2017:12:30 14:41:49,13.0
914,2017:12:30 14:52:06,12.9
915,2017:12:30 15:02:24,12.8
916,2017:12:30 15:08:36,12.7
917,2017:12:30 15:14:46,12.6
918,2017:12:30 15:20:58,12.5
919,2017:12:30 15:25:06,12.4
920,2017:12:30 15:31:17,12.3
921,2017:12:30 15:33:21,12.9
922,2017:12:30 15:41:36,12.8
923,2017:12:30 15:45:44,12.7
924,2017:12:30 15:54:00,12.6
925,2017:12:30 16:00:12,12.5
926,2017:12:30 16:06:24,12.4
927,2017:12:30 16:10:31,12.3
928,2017:12:30 16:14:38,12.2
929,2017:12:30 16:20:49,12.1
930,2017:12:30 16:24:56,12.0
931,2017:12:30 16:26:59,12.0
932,2017:12:30 16:29:02,12.0
933,2017:12:30 16:31:06,11.9
934,2017:12:30 16:33:10,12.2
935,2017:12:30 16:35:13,12.1
936,2017:12:30 16:43:29,12.0
937,2017:12:30 16:45:33,12.0
938,2017:12:30 16:47:37,12.0
939,2017:12:30 16:49:41,11.9
940,2017:12:30 16:57:56,11.8
941,2017:12:30 17:04:08,11.7
942,2017:12:30 17:10:19,11.6
943,2017:12:30 17:14:27,11.5
944,2017:12:30 17:20:39,11.4
945,2017:12:30 17:24:46,11.3
946,2017:12:30 17:30:57,11.2
947,2017:12:30 17:33:01,11.7
948,2017:12:30 17:37:08,11.6
949,2017:12:30 17:45:25,11.5
950,2017:12:30 17:51:35,11.4
951,2017:12:30 17:59:50,11.3
952,2017:12:30 18:06:02,11.2
953,2017:12:30 18:12:14,11.1
954,2017:12:30 18:18:24,11.0
955,2017:12:30 18:22:31,10.9
956,2017:12:30 18:28:43,10.8
957,2017:12:30 18:34:53,11.3
958,2017:12:30 18:39:01,11.2
959,2017:12:30 18:47:15,11.1
960,2017:12:30 18:55:29,11.0
961,2017:12:30 19:03:45,10.9
962,2017:12:30 19:07:51,10.8
963,2017:12:30 19:16:07,10.7
964,2017:12:30 19:22:17,10.6
965,2017:12:30 19:28:29,10.5
966,2017:12:30 19:34:41,11.1
967,2017:12:30 19:40:52,11.0
968,2017:12:30 19:45:00,11.0
969,2017:12:30 19:47:04,11.0
970,2017:12:30 19:51:12,10.9
971,2017:12:30 19:59:28,10.8
972,2017:12:30 20:11:52,10.7
973,2017:12:30 20:22:09,10.6
974,2017:12:30 20:32:28,11.0
975,2017:12:30 20:36:35,10.9
976,2017:12:30 21:22:29,11.0
977,2017:12:30 21:32:49,10.7
978,2017:12:30 21:34:51,10.8
979,2017:12:30 21:45:12,10.9
980,2017:12:30 21:55:32,11.0
981,2017:12:30 21:59:39,11.0
982,2017:12:30 22:01:44,11.0
983,2017:12:30 22:03:49,11.1
984,2017:12:30 22:12:01,11.2
985,2017:12:30 22:20:18,11.3
986,2017:12:30 22:26:29,11.4
987,2017:12:30 22:34:43,10.2
988,2017:12:30 22:38:51,10.3
989,2017:12:30 22:42:58,10.4
990,2017:12:30 22:49:10,10.5
991,2017:12:30 22:55:22,10.6
992,2017:12:30 22:59:29,10.7
993,2017:12:30 23:05:40,10.8
994,2017:12:30 23:11:52,10.9
995,2017:12:30 23:18:03,11.0
996,2017:12:30 23:22:11,11.1
997,2017:12:30 23:28:21,11.2
998,2017:12:30 23:34:33,9.7
999,2017:12:30 23:38:40,9.8
1000,2017:12:30 23:42:48,9.9
1001,2017:12:30 23:48:59,10.0
1002,2017:12:30 23:55:11,10.1
1003,2017:12:30 23:59:19,10.2
1004,2017:12:31 00:05:32,10.3
1005,2017:12:31 00:09:39,10.4
1006,2017:12:31 00:15:50,10.5
1007,2017:12:31 00:19:58,10.6
1008,2017:12:31 00:26:11,10.7
1009,2017:12:31 00:30:18,10.8
1010,2017:12:31 00:40:36,10.9
1011,2017:12:31 00:50:52,11.0
1012,2017:12:31 01:01:07,11.1
1013,2017:12:31 01:09:22,11.2
1014,2017:12:31 01:17:37,11.3
1015,2017:12:31 01:25:53,11.4
1016,2017:12:31 01:34:08,11.9
1017,2017:12:31 01:44:26,12.0
1018,2017:12:31 01:54:41,12.0
1019,2017:12:31 01:56:44,12.0
1020,2017:12:31 02:04:59,12.1
1021,2017:12:31 02:17:22,12.2
1022,2017:12:31 02:33:52,12.3
1023,2017:12:31 02:44:10,12.4
1024,2017:12:31 03:08:53,12.5
1025,2017:12:31 03:27:27,12.6
1026,2017:12:31 03:33:39,12.4
1027,2017:12:31 03:35:43,12.5
1028,2017:12:31 04:02:34,12.6
1029,2017:12:31 04:25:15,12.7
1030,2017:12:31 04:33:30,12.6
1031,2017:12:31 05:15:19,12.7
1032,2017:12:31 05:24:02,12.6
1033,2017:12:31 05:26:05,12.5
1034,2017:12:31 05:48:48,12.4
1035,2017:12:31 05:54:58,12.5
1036,2017:12:31 05:59:05,12.4
1037,2017:12:31 06:17:40,12.3
1038,2017:12:31 06:21:46,12.2
1039,2017:12:31 06:36:17,12.2
1040,2017:12:31 06:40:15,12.2
1041,2017:12:31 06:46:25,12.1
1042,2017:12:31 06:56:42,12.0
1043,2017:12:31 07:00:47,12.0
1044,2017:12:31 07:02:51,12.0
1045,2017:12:31 07:06:59,11.9
1046,2017:12:31 07:15:18,11.8
1047,2017:12:31 07:26:03,11.7
1048,2017:12:31 07:34:20,11.8
1049,2017:12:31 07:42:34,11.7
1050,2017:12:31 07:50:48,11.6
1051,2017:12:31 07:59:04,11.5
1052,2017:12:31 08:09:23,11.4
1053,2017:12:31 08:19:43,11.3
1054,2017:12:31 08:30:12,11.2
1055,2017:12:31 08:34:39,11.3
1056,2017:12:31 08:38:47,11.2
1057,2017:12:31 08:51:08,11.1
1058,2017:12:31 09:03:32,11.0
1059,2017:12:31 09:15:55,11.0
1060,2017:12:31 09:17:58,11.0
1061,2017:12:31 09:32:23,10.9
1062,2017:12:31 09:34:25,10.7
1063,2017:12:31 10:28:31,10.8
1064,2017:12:31 10:32:38,10.7
1065,2017:12:31 10:45:00,10.8
1066,2017:12:31 11:24:10,10.7
1067,2017:12:31 11:34:30,10.4
1068,2017:12:31 12:01:50,10.3
1069,2017:12:31 12:22:28,10.2
1070,2017:12:31 12:34:51,10.3
1071,2017:12:31 12:45:10,10.2
1072,2017:12:31 12:59:34,10.1
1073,2017:12:31 13:07:49,10.0
1074,2017:12:31 13:11:56,10.0
1075,2017:12:31 13:13:59,10.0
1076,2017:12:31 13:16:04,9.9
1077,2017:12:31 13:26:24,9.8
1078,2017:12:31 13:36:43,10.4
1079,2017:12:31 13:34:40,10.5
1080,2017:12:31 13:43:03,10.3
1081,2017:12:31 13:50:09,10.2
1082,2017:12:31 13:58:26,10.1
1083,2017:12:31 14:05:36,10.0
1084,2017:12:31 14:11:47,9.9
1085,2017:12:31 14:17:59,9.8
1086,2017:12:31 14:24:08,9.7
1087,2017:12:31 14:30:20,9.6
1088,2017:12:31 14:32:23,10.1
1089,2017:12:31 14:38:32,10.0
1090,2017:12:31 14:46:46,9.9
1091,2017:12:31 14:52:57,9.8
1092,2017:12:31 15:01:08,9.7
1093,2017:12:31 15:09:23,9.4
1094,2017:12:31 15:07:20,9.6
1095,2017:12:31 15:13:30,9.3
1096,2017:12:31 15:17:39,9.2
1097,2017:12:31 15:23:50,9.1
1098,2017:12:31 15:27:59,9.0
1099,2017:12:31 15:34:39,9.2
1100,2017:12:31 15:32:35,9.3
1101,2017:12:31 15:42:53,9.1
1102,2017:12:31 15:51:08,9.0
1103,2017:12:31 15:57:24,8.9
1104,2017:12:31 16:04:02,8.8
1105,2017:12:31 16:10:18,8.7
1106,2017:12:31 16:15:21,8.6
1107,2017:12:31 16:21:33,8.5
1108,2017:12:31 16:27:43,8.4
1109,2017:12:31 16:33:51,8.2
1110,2017:12:31 16:37:58,8.1
1111,2017:12:31 16:48:16,8.0
1112,2017:12:31 16:52:23,8.0
1113,2017:12:31 16:54:27,8.0
1114,2017:12:31 16:58:35,7.9
1115,2017:12:31 17:08:53,7.8
1116,2017:12:31 17:17:07,7.7
1117,2017:12:31 17:25:22,7.6
1118,2017:12:31 17:27:26,7.5
1119,2017:12:31 17:33:37,7.9
1120,2017:12:31 17:41:51,7.8
1121,2017:12:31 17:52:10,7.7
1122,2017:12:31 18:02:28,7.6
1123,2017:12:31 18:12:46,7.6
1124,2017:12:31 18:10:42,7.5
1125,2017:12:31 18:14:50,7.5
1126,2017:12:31 18:21:02,7.4
1127,2017:12:31 18:23:04,7.5
1128,2017:12:31 18:25:08,7.4
1129,2017:12:31 18:33:24,7.8
1130,2017:12:31 18:31:20,7.3
1131,2017:12:31 18:43:43,7.7
1132,2017:12:31 18:56:05,7.6
1133,2017:12:31 19:04:19,7.5
1134,2017:12:31 19:12:32,7.4
1135,2017:12:31 19:20:48,7.3
1136,2017:12:31 19:27:00,7.2
1137,2017:12:31 19:33:11,7.5
1138,2017:12:31 19:43:30,7.4
1139,2017:12:31 19:53:49,7.3
1140,2017:12:31 20:04:07,7.2
1141,2017:12:31 20:10:19,7.1
1142,2017:12:31 20:16:28,7.0
1143,2017:12:31 20:24:44,6.9
1144,2017:12:31 20:30:55,6.8
1145,2017:12:31 20:32:58,7.5
1146,2017:12:31 20:35:01,7.4
1147,2017:12:31 20:43:20,7.3
1148,2017:12:31 20:54:06,7.2
1149,2017:12:31 21:02:20,7.1
1150,2017:12:31 21:08:31,7.0
1151,2017:12:31 21:14:42,6.9
1152,2017:12:31 21:20:55,6.8
1153,2017:12:31 21:27:06,6.7
1154,2017:12:31 21:33:17,7.7
1155,2017:12:31 21:37:26,7.6
1156,2017:12:31 21:43:37,7.5
1157,2017:12:31 21:51:51,7.4
1158,2017:12:31 22:00:08,7.3
1159,2017:12:31 22:06:17,7.2
1160,2017:12:31 22:10:25,7.1
1161,2017:12:31 22:17:07,7.0
1162,2017:12:31 22:21:15,6.9
1163,2017:12:31 22:27:27,6.8
1164,2017:12:31 22:31:34,6.7
1165,2017:12:31 22:33:38,7.3
1166,2017:12:31 22:37:46,7.2
1167,2017:12:31 22:46:01,7.1
1168,2017:12:31 22:54:17,7.0
1169,2017:12:31 23:02:31,6.9
1170,2017:12:31 23:06:39,6.8
1171,2017:12:31 23:12:49,6.7
1172,2017:12:31 23:19:00,6.6
1173,2017:12:31 23:25:10,6.5
1174,2017:12:31 23:33:23,6.6
1175,2017:12:31 23:31:18,6.4
1176,2017:12:31 23:43:41,6.5
1177,2017:12:31 23:56:03,6.4
1178,2018:01:01 00:04:21,6.3
1179,2018:01:01 00:10:29,6.4
1180,2018:01:01 00:12:33,6.1
1181,2018:01:01 00:16:41,6.0
1182,2018:01:01 00:24:57,5.9
1183,2018:01:01 00:31:09,5.8
1184,2018:01:01 00:33:12,6.6
1185,2018:01:01 00:41:29,6.5
1186,2018:01:01 00:53:47,6.4
1187,2018:01:01 01:04:06,6.3
1188,2018:01:01 01:10:16,6.2
1189,2018:01:01 01:18:29,6.1
1190,2018:01:01 01:24:42,6.0
1191,2018:01:01 01:32:58,6.3
1192,2018:01:01 01:49:26,6.2
1193,2018:01:01 02:01:47,6.3
1194,2018:01:01 02:07:59,6.1
1195,2018:01:01 02:05:55,6.2
1196,2018:01:01 02:10:03,6.2
1197,2018:01:01 02:16:15,6.1
1198,2018:01:01 02:26:32,6.0
1199,2018:01:01 02:32:41,5.9
1200,2018:01:01 02:47:06,5.8
1201,2018:01:01 03:18:02,5.7
1202,2018:01:01 04:20:49,5.6
1203,2018:01:01 04:33:10,5.7
1204,2018:01:01 05:26:40,5.0
1205,2018:01:01 05:32:50,5.3
1206,2018:01:01 05:36:58,4.6
1207,2018:01:01 05:39:02,5.2
1208,2018:01:01 06:32:37,5.8
1209,2018:01:01 06:59:28,5.9
1210,2018:01:01 07:42:45,6.0
1211,2018:01:01 07:46:53,5.9
1212,2018:01:01 07:55:07,6.0
1213,2018:01:01 08:03:23,6.0
1214,2018:01:01 08:05:27,6.0
1215,2018:01:01 08:15:47,6.1
1216,2018:01:01 08:32:16,5.8
1217,2018:01:01 08:40:32,5.9
1218,2018:01:01 08:54:57,6.0
1219,2018:01:01 09:03:12,6.0
1220,2018:01:01 09:01:08,6.0
1221,2018:01:01 09:11:28,6.1
1222,2018:01:01 09:27:58,6.2
1223,2018:01:01 09:34:10,5.8
1224,2018:01:01 09:42:26,5.9
1225,2018:01:01 09:58:54,6.0
1226,2018:01:01 10:11:16,6.1
1227,2018:01:01 10:23:39,6.2
1228,2018:01:01 10:33:58,6.1
1229,2018:01:01 10:36:02,6.2
1230,2018:01:01 10:53:03,6.3
1231,2018:01:01 11:07:28,6.4
1232,2018:01:01 11:26:03,6.5
1233,2018:01:01 11:32:12,6.6
1234,2018:01:01 11:42:30,6.7
1235,2018:01:01 12:27:54,6.8
1236,2018:01:01 12:34:06,7.0
1237,2018:01:01 13:02:57,6.9
1238,2018:01:01 13:29:45,6.8
1239,2018:01:01 13:33:50,7.0
1240,2018:01:01 13:40:02,6.9
1241,2018:01:01 14:04:47,6.8
1242,2018:01:01 14:23:20,6.7
1243,2018:01:01 14:33:39,7.0
1244,2018:01:01 14:37:46,6.9
1245,2018:01:01 14:52:11,6.8
1246,2018:01:01 15:08:38,6.7
1247,2018:01:01 15:21:01,6.6
1248,2018:01:01 15:33:22,6.5
1249,2018:01:01 15:35:25,6.9
1250,2018:01:01 15:43:41,6.8
1251,2018:01:01 15:54:00,6.7
1252,2018:01:01 16:06:24,6.6
1253,2018:01:01 16:14:40,6.5
1254,2018:01:01 16:25:00,6.4
1255,2018:01:01 16:39:26,6.3
1256,2018:01:01 16:51:48,6.2
1257,2018:01:01 17:06:14,6.1
1258,2018:01:01 17:18:36,6.0
1259,2018:01:01 17:26:50,6.0
1260,2018:01:01 17:24:46,6.0
1261,2018:01:01 17:30:58,5.9
1262,2018:01:01 17:35:06,6.2
1263,2018:01:01 17:51:32,6.1
1264,2018:01:01 18:08:03,6.0
1265,2018:01:01 18:32:44,6.3
1266,2018:01:01 18:45:09,6.2
1267,2018:01:01 19:09:51,6.1
1268,2018:01:01 19:28:26,6.0
1269,2018:01:01 19:32:33,6.7
1270,2018:01:01 19:44:57,6.6
1271,2018:01:01 20:05:35,6.5
1272,2018:01:01 20:15:52,6.4
1273,2018:01:01 20:26:12,6.3
1274,2018:01:01 20:32:23,6.8
1275,2018:01:01 20:40:38,6.7
1276,2018:01:01 20:59:08,6.6
1277,2018:01:01 21:07:23,6.5
1278,2018:01:01 21:09:26,6.4
1279,2018:01:01 21:17:42,6.3
1280,2018:01:01 21:25:58,6.2
1281,2018:01:01 21:32:09,6.1
1282,2018:01:01 21:34:12,7.0
1283,2018:01:01 21:42:27,6.9
1284,2018:01:01 21:54:49,6.8
1285,2018:01:01 22:05:07,6.7
1286,2018:01:01 22:11:18,6.6
1287,2018:01:01 22:17:30,6.5
1288,2018:01:01 22:23:42,6.4
1289,2018:01:01 22:29:53,6.3
1290,2018:01:01 22:34:00,6.8
1291,2018:01:01 22:40:11,6.7
1292,2018:01:01 22:52:35,6.6
1293,2018:01:01 23:02:54,6.5
1294,2018:01:01 23:11:08,6.4
1295,2018:01:01 23:17:17,6.3
1296,2018:01:01 23:23:29,6.2
1297,2018:01:01 23:29:40,6.1
1298,2018:01:01 23:33:48,6.4
1299,2018:01:01 23:39:58,6.3
1300,2018:01:01 23:52:20,6.2
1301,2018:01:02 00:04:43,6.1
1302,2018:01:02 00:10:54,6.0
1303,2018:01:02 00:17:06,6.1
1304,2018:01:02 00:19:10,6.0
1305,2018:01:02 00:21:14,5.9
1306,2018:01:02 00:23:17,6.0
1307,2018:01:02 00:25:21,5.9
1308,2018:01:02 00:31:31,5.8
1309,2018:01:02 00:35:39,5.7
1310,2018:01:02 00:50:04,5.6
1311,2018:01:02 01:02:23,5.5
1312,2018:01:02 01:10:38,5.4
1313,2018:01:02 01:18:54,5.3
1314,2018:01:02 01:27:09,5.2
1315,2018:01:02 01:33:20,5.3
1316,2018:01:02 01:37:25,5.2
1317,2018:01:02 01:49:48,5.1
1318,2018:01:02 02:02:11,5.0
1319,2018:01:02 02:10:25,4.9
1320,2018:01:02 02:12:29,5.0
1321,2018:01:02 02:14:32,5.0
1322,2018:01:02 02:16:36,5.0
1323,2018:01:02 02:20:44,4.9
1324,2018:01:02 02:31:01,4.8
1325,2018:01:02 02:41:17,4.7
1326,2018:01:02 02:57:49,4.6
1327,2018:01:02 03:08:09,4.5
1328,2018:01:02 03:18:27,4.4
1329,2018:01:02 03:26:43,4.3
1330,2018:01:02 03:32:53,4.4
1331,2018:01:02 03:39:04,4.3
1332,2018:01:02 03:51:27,4.2
1333,2018:01:02 04:03:48,4.1
1334,2018:01:02 04:12:03,4.0
1335,2018:01:02 04:24:25,3.9
1336,2018:01:02 04:32:38,4.1
1337,2018:01:02 04:40:52,4.0
1338,2018:01:02 04:44:59,4.0
1339,2018:01:02 04:47:03,4.0
1340,2018:01:02 04:51:11,3.9
1341,2018:01:02 05:01:28,3.8
1342,2018:01:02 05:09:44,3.7
1343,2018:01:02 05:17:59,3.6
1344,2018:01:02 05:28:17,3.5
1345,2018:01:02 05:34:28,3.8
1346,2018:01:02 05:40:38,3.7
1347,2018:01:02 05:48:52,3.6
1348,2018:01:02 05:59:41,3.5
1349,2018:01:02 06:10:00,3.4
1350,2018:01:02 06:14:08,3.3
1351,2018:01:02 06:18:14,3.3
1352,2018:01:02 06:16:11,3.4
1353,2018:01:02 06:26:29,3.2
1354,2018:01:02 06:32:41,3.1
1355,2018:01:02 06:34:45,3.6
1356,2018:01:02 06:45:03,3.5
1357,2018:01:02 06:57:27,3.4
1358,2018:01:02 07:07:45,3.3
1359,2018:01:02 07:18:03,3.2
1360,2018:01:02 07:26:17,3.1
1361,2018:01:02 07:36:37,3.9
1362,2018:01:02 07:40:43,3.8
1363,2018:01:02 07:55:10,3.7
1364,2018:01:02 08:11:38,3.6
1365,2018:01:02 08:28:09,3.5
1366,2018:01:02 08:40:31,4.2
1367,2018:01:02 09:21:50,4.3
1368,2018:01:02 09:34:13,5.0
1369,2018:01:02 09:32:10,5.0
1370,2018:01:02 09:38:22,5.1
1371,2018:01:02 09:48:38,5.2
1372,2018:01:02 10:03:05,5.3
1373,2018:01:02 10:13:25,5.4
1374,2018:01:02 10:21:42,5.5
1375,2018:01:02 10:29:56,5.6
1376,2018:01:02 10:36:08,6.0
1377,2018:01:02 10:38:12,6.1
1378,2018:01:02 10:42:20,6.2
1379,2018:01:02 10:48:33,6.3
1380,2018:01:02 10:54:44,6.4
1381,2018:01:02 11:00:55,6.5
1382,2018:01:02 11:09:10,6.6
1383,2018:01:02 11:15:20,6.7
1384,2018:01:02 11:23:33,6.8
1385,2018:01:02 11:31:47,6.9
1386,2018:01:02 11:37:57,7.0
1387,2018:01:02 11:42:04,6.8
1388,2018:01:02 11:46:12,6.9
1389,2018:01:02 11:50:20,7.0
1390,2018:01:02 11:56:32,7.1
1391,2018:01:02 12:00:40,7.2
1392,2018:01:02 12:06:51,7.3
1393,2018:01:02 12:13:03,7.4
1394,2018:01:02 12:17:11,7.5
1395,2018:01:02 12:23:23,7.6
1396,2018:01:02 12:29:35,7.7
1397,2018:01:02 12:33:43,7.8
1398,2018:01:02 12:39:53,7.9
1399,2018:01:02 12:41:56,8.0
1400,2018:01:02 12:46:04,8.1
1401,2018:01:02 12:52:15,8.2
1402,2018:01:02 12:56:22,8.3
1403,2018:01:02 13:00:30,8.4
1404,2018:01:02 13:08:46,8.6
1405,2018:01:02 13:06:42,8.5
1406,2018:01:02 13:14:58,8.7
1407,2018:01:02 13:21:08,8.8
1408,2018:01:02 13:25:15,8.9
1409,2018:01:02 13:31:27,9.0
1410,2018:01:02 13:37:37,9.1
1411,2018:01:02 13:43:48,9.1
1412,2018:01:02 13:41:44,9.0
1413,2018:01:02 13:47:55,9.2
1414,2018:01:02 13:52:02,9.3
1415,2018:01:02 13:58:13,9.4
1416,2018:01:02 14:02:20,9.5
1417,2018:01:02 14:12:39,9.6
1418,2018:01:02 14:20:56,9.7
1419,2018:01:02 14:29:11,9.8
1420,2018:01:02 14:33:19,9.3
1421,2018:01:02 14:35:21,9.4
1422,2018:01:02 14:41:32,9.5
1423,2018:01:02 14:49:48,9.6
1424,2018:01:02 14:55:58,9.7
1425,2018:01:02 15:16:37,9.6
1426,2018:01:02 15:37:14,9.3
1427,2018:01:02 15:55:44,9.2
1428,2018:01:02 16:08:07,9.1
1429,2018:01:02 16:18:25,9.0
1430,2018:01:02 16:26:40,8.9
1431,2018:01:02 16:34:53,9.5
1432,2018:01:02 16:36:57,9.4
1433,2018:01:02 16:43:08,9.3
1434,2018:01:02 16:51:24,9.2
1435,2018:01:02 16:57:34,9.1
1436,2018:01:02 17:09:56,9.0
1437,2018:01:02 17:22:19,8.9
1438,2018:01:02 17:34:41,9.1
1439,2018:01:02 17:36:45,9.0
1440,2018:01:02 17:40:54,9.8
1441,2018:01:02 17:45:00,9.7
1442,2018:01:02 17:57:21,9.6
